,Unnamed: 0,Unnamed: 0.1,review_rating,hotel_locality,hotel_name,hotel_rating,num_reviews_reviewer,review_body,review_date,review_title,review_url,reviewer_name,user_location
13,13,13,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,20,"Rooms are little poky but not bad. The shower space is very small, couldn't move much in it. There was air conditioning in the toilet which made me shiver! Had amazing sleep at this hotel though. Bethlehem was nice with cool winds. It is a few minutes drive to Shepherd's Church from the hotel. The buffet facilities were great - a wide choice of items.","September 13, 2013",Not Bad,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r177085517-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,KarLouSa,"Muscat, Oman"
14,14,14,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,66,We stayed in this hotel during our visit in Bethlehem and the place is really nice esp we have the spacious room on the 4 floor with the excellent view of the sorrounding area of the old town. The hotel looks very simple outside but the staff is friendly with good service and they have maintained the cleanliness in the good standard. I cant find any fault as most of the facilities is relatively good. Food is also good which is being serve in 2 restaurants with a lots of variety to choose from. Overall a nice experience and I do recommend this place if you want close to the old town and accessible to the important areas of Catholic or Christian pilgrimage.,"January 29, 2013",owesome experience!!!,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r150968342-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,toto0713,"London, United Kingdom"
15,15,15,30,Bethlehem,Shepherd Hotel,4 of 5 bubbles,43,"I went to the hotel with my wife and my 3 children for 2 nights on Easter. The hospitality was great and the hotel is located well within the center so we could walk into the old city and the marketplace by foot.We were located on the 5th floor while the rooms were relatively clean the windows were so dirty that we could not see the view without opening them! In addition the windows could not be shut and feared for the children so we asked them not to go too close to the windows!The parking lot of the hotel is relatively small (only around 10 cars could cramp into the small parking lot of the hotel and we had to ask to move the cars in order to go in/out of the parking lot. (it was not that bad as most of the time we did not have to use the car at all)The TV/entertainment in the hotel is almost not present (the TVs only have a few channels) so bring something for the kids to do (while bathing, etc.)Overall we had a good experience, in order to make it better I suggest to fix/clean the windows, get better children entertainment and improve the parking lot.","April 10, 2012",Well located,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r127591217-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Mograbi,Tarshiha
16,16,16,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,28,This hotel offered the best service and most hospitality I have ever encountered at a hotel. The staff was friendly and helpful and was eager to serve its guest. I felt safe the entire time and was treated fairly and just. It was a good experience. The only negative was that the wi-fi service was a little sketchy at times and passing through the checkpoints took some time in the morning. Overall it was a good experience.,"March 29, 2012",True cross-culture experience,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r126915564-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,stumperman1,"Evanston, Illinois"
17,17,17,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,468,I regularly bring groups to stay here whilst on pilgrimage to the Holy Land. It is a comfortable mid-range hotel with very friendly staff and good facilities. Spacious rooms many with good views. Good food provided in 2 restaurants. Located close to the old town of Bethlehem and an easy walk through the markets to the Church of the Nativity. A very good option for staying in Bethlehem and supporting the local economy. Bethlehem has much to 'take in' and enjoy.,"February 24, 2012",Well located comfortable hotel in Bethlehem,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r125119389-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,AndrewA64,"Winchester, United Kingdom"
18,18,18,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,25,"The Shepherd Hotel is a convenient and comfortable hotel. You will experience warmth and professional hospitality from the Palestinians at the hotel. Nothing is too much trouble. The food is first class and the proportions are very generous. The rooms are well-appointed and of a good size. Finally, you have ease of access from the hotel to the Church of the Nativity and to the local shops. This was my first trip to Bethlehem and I fet that 'The Shephed Hotel' was a good choice. If you wish to dine elsewhere there are a number of small restaurants and cafes near by. The only 'down side' of Bethlehem is the evidence of apartheid in the form of the monstrous wall that has been constructed. As a boy I once saw the Berlin Wall and the wall that the Israelis have contructed is just as disturbing a sight. What a pity that there is no John Kennedy standing up for the plight of the Palestinians in the way he did for Berliners.","January 24, 2012",Comfortable and Conveninet,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r123563795-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Rambler55,England
19,19,19,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,11,"Situated close to the centre of Bethlehem but on a quiet sidestreet, this hotel is cool and comfortable. The staff are very obliging and helpful. Always willing to please. The hotel has a sort of faded elegance - when staying here you will become part of the local community. A couple of doors down the road is the local bakery where, from the early hours, they hand-bake bread with a cheery smile and a wave. The local street market is bustling with local charm and everyone is so welcoming. A ten minute stroll though the souk will take you to Nativity Square.The rooms are comfortable with air-con, shutters, comfortable beds and a little bit of luxury. The food is local fare - which adds to the ambience. If you want to immerse yourself in the local culture while being comfortable then this is the place for you. We have stayed there twice and will happily return again.","January 20, 2012","Friendly staff, comfortable accommodation",https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r123369666-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,GE_RikB,"Chester, United Kingdom"
20,20,20,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,19,"Good hotel with helpful staff in the Palestinian side. Based in Bethlehem, there is a lot of interesting places to see near this. Due to the apartheid wall it's not possible for locals to go to Israel and income from tourist is important in these parts. Stayed here for 3 nights, good food, loads of salad selection, they have a lot of group tourist as well so it could be busy at the restaurant certain times. Free unlimited fast wifi, this was helpful as I used to skype home. Alcohol served at the bar.","November 24, 2011",Good hotel in palestine,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r121002861-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Paulmat555,"London, United Kingdom"
21,21,21,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,16,I stayed at this hotel when I was touring around Bethlehem last year. The hotel was fine. The staffs were friendly and courteous. The large room where I stayed in had a bit out dated décor but it did not bother me as the room was comfortable to stay. The bathroom was however modern just as what the previous reviewer has said. I had my laptop with (I always carry it with me for business related purposes). The free high speed internet connection was a boon. I had a good sleep at this place. The food was quite delicious.,"July 13, 2011",A simple but comfortable hotel with delicious food,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r115313826-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,lenka_hong,"Singapore, Singapore"
22,22,22,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,12,"We stayed here because our tour director wanted our group to spend some of our tourist dollars in hotels, restaurants and gift shops in the West Bank, where commerce is needed badly. The Shepherd hotel was nice, but not a modern, glitzy hotel, though the bathrooms were entirely fresh and modern. The room was spacious with very nice beds, and a little old-fashioned in decor. The food was fine, expecially the dinner. OUr group gathered in the lounge before dinner where the barman was both friendly and appreciative of our business and it was a very pleasant time for us. The wi-fi was free, the only time we got it free in an 11-day tour of Israel. I liked the attitude of the management and staff.","November 6, 2010",Nice place to stay in Bethlehem,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r86198103-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,LovelyEngland,"Charlotte, North Carolina, USA"
23,23,23,40,Bethlehem,Caritas Betharram Center,4 of 5 bubbles,95,"We stayed here for eight nights with a group of Pax Christi Austria on our Pilgrimage Tour when we tried to visit many local people engaged in work for peace and justice. We liked the place in its tranquility and special atmosphere just beside the Carmel where Mariam Baouardy, the first palestinian Saint lived after she herself initiated this Carmel.The food is excellent, rich and full of choice, every night something new special. The breakfast is simple but enough to start a good day. The rooms are clean and good enough for a good sleep after a full day of work in the olive yard of Daoud Nasser (Tent of Nations). The view is beautiful. The lounge invites to sit in the evening with a good Tabeyh beer or Cremisan wine from the Salesian brothers.The staff is helpful and friendly, trying the find solutions for every special need.Of course you can find many facts which make a difference to a Five Star Hotel! But thats exact the difference! Its no Five Star Hotel, but a good and innovative place to meet people from the area, to experience their life and problems and give them a chance to earn money. Staying here means helping the Caritas in their work and rising Bethlehems economy. So you get a moderate room with excellent food for a very reasonable price! The more people stay here, the larger the chance for renovations which of course could do some good. Maybe the busdriver needs some special advise, as our bus driver didn’t know the place.Ask for Fr. Raed the Director of Caritas Jerusalem who started this guesthouse and you will learn a lot about life in Bethlehem. They are very thankful for every stay!","April 15, 2017",A good place to stay and meet local people!,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d9737305-r475835393-Caritas_Betharram_Center-Bethlehem_West_Bank.html#CHECK_RATES_CONT,anjop58,"Linz, Austria"
24,24,24,50,Bethlehem,Caritas Betharram Center,4 of 5 bubbles,77,Caritas runs this place in a most meticulous and caring way. Rooms are clean and well kept. Wi fi works well. The food is extraordinary because the cook is a real chef. The prices are good and in addition you help Caritas who helos the refugees. ,"December 3, 2016",Great place to stay in Bethlehem,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d9737305-r441695884-Caritas_Betharram_Center-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Himelda,"New York City, New York"
25,25,25,50,Bethlehem,Caritas Betharram Center,4 of 5 bubbles,95,This time I only had the chance for a day visit at the Carmel Convent which I very much appreciated. In the church you see the reliquary of St Maria and in the museum different items belonging to here. A friend of mine recommended the guest house to me. It's a quiet and peaceful place. At daytime you also can meet old people in the daycare Center of the Caritas. ,"January 27, 2016",Dayvisit,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d9737305-r343073018-Caritas_Betharram_Center-Bethlehem_West_Bank.html#CHECK_RATES_CONT,anjop58,"Linz, Austria"
26,26,26,40,Bethlehem,Golden Park Resort,4 of 5 bubbles,47,"Polite, capable service in good English. Room a little worn but very clean. Breakfast buffet above average. I had dinner here one night and it was quite dull but filling; anyway there are several restaurants nearby.It's a short walk from the popular Franciscan Shepherds' Field shrine and slightly further from the little-visited Orthodox site but still walkable.","December 20, 2017",Handy for Shepherds' Fields,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d3577109-r548324503-Golden_Park_Resort-Bethlehem_West_Bank.html#CHECK_RATES_CONT,JohntheFinn,"Helsinki, Finland"
27,27,27,30,Bethlehem,Golden Park Resort,4 of 5 bubbles,9,"We were part of a group tour in May 2016 and stayed for four days in this hotel in Bethlehem. Good value for money hotel. Quite comfortable. Remote location - Not in proximity of markets/shops or restaurants. Rooms are good, but not quite big. Linen was clean and changed as per request. Breakfast fare was not very large but good mix of vegies and sausages and eggs with pita bread. Plus point is staff very courteous and helpful. Shower space in our room was almost minuscule. Not at all enough to take a decent shower. Overall, a good value for money - budget hotel. Serves very well, the purpose of pilgrim groups who need a good, clean, quiet place after a day’s tiring sightseeing.","July 1, 2016","Average budget hotel with above average, helpful staff",https://www.tripadvisor.com.au/ShowUserReviews-g293978-d3577109-r388257621-Golden_Park_Resort-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Shridhar2015,"San Jose, California"
28,28,28,50,Bethlehem,Golden Park Resort,4 of 5 bubbles,35,"Compared to the price I paid for 3 nights, this hotel is a bargain. Very nice and clean hotel with big rooms (great view as well over the city). It is located 25 minutes walking from Manger Square and the Nativity Church or a short, cheap taxi ride. Breakfast was fine. Wifi working well. Had some issues with cold water in the shower, but did not bother to ask the staff (which by the way was nice).I would recommend staying here. Only downside is that it is located a little outside the city, but the hotel itself is nice.","March 29, 2015",Enjoyed my stay,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d3577109-r262512374-Golden_Park_Resort-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Maliciousdk,"Copenhagen, Denmark"
29,29,29,40,Bethlehem,Golden Park Resort,4 of 5 bubbles,18,"After trying two other places I moved here and never looked back. The staff couldn't be more helpful, yet never at any point imposed. They gave good advice to my questions and seemed to enjoy helping too. I thought the room was lovely and was happy with the heating, TV and layout, it was also kept immaculate throughout my stay. They have two or three news channels that are in English. Breakfast was just right and the fellow there transformed my whole trip for the better when I told him my interests and he advised me of an event I knew nothing of later that day. Everyone is professional and the whole package beat everywhere else I'd been hands down. Very good value and I'll be back.Tip: If you need a taxi get the hotel staff to order it for you and tell you exactly what to pay. If you don't and they see you are a tourist it will probably be ten times or more higher.","January 20, 2015",Great staff and very nice,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d3577109-r250145475-Golden_Park_Resort-Bethlehem_West_Bank.html#CHECK_RATES_CONT,dispatch_rider,"Heather, United Kingdom"
30,30,30,40,Bethlehem,Golden Park Resort,4 of 5 bubbles,54,"This hotel is one of four hotels we occupied during our Jordan/Israel group tour. The courtyard as you enter the hotel is a welcome sight with a bridge leading to the entrance. The lobby is also nice and spacious. The rooms are clean and well-maintained although there is no wifi most of the time. The wifi in the lobby is more reliable. The buffet breakfasts and dinners at the restaurant are better than in the other hotels where we stayed. However, the restaurant normally opens at 7 which is too late for our early morning tours. Our tour guide requested an earlier breakfast the next day and the manager accommodated our request. Good location although we did not have time to go around on our own due to our hectic group schedule.","January 6, 2014",Nice hotel,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d3577109-r189849386-Golden_Park_Resort-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Ellen1535,"Quezon City, Philippines"
31,31,31,40,Bethlehem,Golden Park Resort,4 of 5 bubbles,71,"I stayed this resort on from 18th to 21st may this year WITH MY GROUP OF 40 PEOPLE The Resort is really great. Specifically menu, rooms, cleanliness. Apart from this, I would like to specially mention the Adjustment of timings of breakfast and dinner by restaurant staff. Always front side rooms are recommended.Only suggestion is resort management must provide floor carpet in each room . GOLDEN.","May 30, 2013",Golden Park really golden,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d3577109-r162438454-Golden_Park_Resort-Bethlehem_West_Bank.html#CHECK_RATES_CONT,JosephFPereira,"Vasai, India"
32,32,32,30,Bethlehem,Grand Park Hotel Bethlehem,4 of 5 bubbles,46,"The rooms were very comfortable and large. The same was the bathroom. Staff was very kind. Although one morning they woke us up one and a half hours earlier by mistake and we lost our sleep. Not so clean as one towel and one of the pillows were dirty. Breakfast was very poor and the quality of the products was bad. It was the same every day. As for the place, it is close to restaurants and to a super market( be careful in the market, they thieve you when you pay in euros) and a 10-15 minute walk from the Church of the Nativity. The bar in the 7th floor has a great view and reasonable-for the place- prices.","September 25, 2017",Simply good,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d5244991-r527466228-Grand_Park_Hotel_Bethlehem-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Despina O,"Athens, Attiki, Greece"
33,33,33,40,Bethlehem,Grand Park Hotel Bethlehem,4 of 5 bubbles,3,"You can opt to walk going to the Nativity Church. Also there's a good quality souvenir store near the area called Cavinti. Staff at the dining area are very helpful and accommodating. Just be aware of many guests in this hotel, as the elevator service may slow down due to big group guests.","May 16, 2017",Great location,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d5244991-r484793635-Grand_Park_Hotel_Bethlehem-Bethlehem_West_Bank.html#CHECK_RATES_CONT,KEFM1123,"Paranaque, Philippines"
34,34,34,40,Bethlehem,Grand Park Hotel Bethlehem,4 of 5 bubbles,455,This is a big hotel with regular standards: comfortable and clean beds and bathroom and sufficient closets. They provide free wifi and tea and coffee facilities in the rooms. Breakfast is ok with a variety of food including falafel. Dinner is also acceptable in food quality and quantity but the dining room is more like a school cafeteria. ,"March 12, 2017",Efficient hotel ,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d5244991-r466560977-Grand_Park_Hotel_Bethlehem-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Nesligul D,"Istanbul, Turkey"
35,35,35,40,Bethlehem,Grand Park Hotel Bethlehem,4 of 5 bubbles,98,"My wife and I were traveling with a group of pilgrims to see mostly sites of interest to Christians. All arrangements were made through Educational Opportunities travel service as a package so I am unable to comment on room costs. My wife and I had a suite and the room was clean. We had several meals at the hotel restaurant and the food and service were good. It rained during most of our stay so we didn't walk around the city around our hotel but the spire for the church of the nativity was visible from our window and looked to be only a few blocks away. We felt safe throughout our stay but there was always a collection of street vendors waiting outside the hotel when we left or returned. The vendors are very persistent so please be courteous but firm in declining their wares - if you are not interested. Don't touch anything or they will cling to you. Also it is apparently not customary to provide a top sheet in Palestine, just a mattress cover sheet and blanket. Wash cloths are also not provided nor did the hotel staff know what a wash cloth/face cloth is. Electrical outlets are few. Had to unplug something to charge cell phone. Hotel staff were courteous and responsive to our requests.","January 31, 2017",A few things to anticipate,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d5244991-r456124531-Grand_Park_Hotel_Bethlehem-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Ray1962,Baton rouge
36,36,36,40,Bethlehem,Grand Park Hotel Bethlehem,4 of 5 bubbles,8,"I've been there only one night. Rooms are big and CLEAN. The hotel looks new. Service people are really nice, kind and helpful.breakfast and dinner are buffet style, good and with variety. Compared to the rest of hotels of the same caregory we have been in Israel, this one is better, cleaner, personal is kinder and has exceed my expectatives. If you are travelling to Israel, it's a must visiting Palestina and sleep one night (enough) in Bethlehem.","January 4, 2017",Better than the ones of same cartegory in Israel,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d5244991-r449449774-Grand_Park_Hotel_Bethlehem-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Nuria F,"Madrid, Spain"
37,37,37,50,Bethlehem,Grand Park Hotel Bethlehem,4 of 5 bubbles,3,"Very nice modern hotel. We stayed as a family of 4 for one night, it was enough to make a great impression. The hotel is all clean, quite and the staff is very friendly. Rich breakfast and great location. Highly recommended, we'll diffenetly come back. ","January 4, 2017",Outstanding !,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d5244991-r449303082-Grand_Park_Hotel_Bethlehem-Bethlehem_West_Bank.html#CHECK_RATES_CONT,hibayaseen,Israel
38,38,38,20,Bethlehem,Grand Park Hotel Bethlehem,4 of 5 bubbles,2,"I found it to have poor lighting, Poor electrical outlets/plugs no place to plug in your iPhone, iPad and tablet/Computer. When I asked for an extension the first one that gave me was not good. I had to ask for a second one. The only thing that was good was that since I was staying with my parents they didn't put in a cot. It was an actual bed. We had no choice on scheduling hotel rooms because we went on a pilgrimage. So we had to accept /deal with the hotel. Wifi was free because we were a group of 58.","March 27, 2016",Awful stay,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d5244991-r359029461-Grand_Park_Hotel_Bethlehem-Bethlehem_West_Bank.html#CHECK_RATES_CONT,FRANCINITA,"Miami, Florida"
