Text,Polarity,Agreement,Subjectivity,Confidence,Irony
"To those traveling to the West Bank, be advised that firstly, the culture will be shocking for those who have never been to the Middle East before. It's quite extreme in terms of outside surroundings, even for someone coming from Israel. The standards of this hotel however, do match up with some of the more run-down establishments in the west. Not that the hotel wasn't comfortable, because it was. There was a nice flat panel TV in the room, the bed was comfortable, the room clean, and overall, the staff was very friendly. There were a few problems and for this reason I personally wouldn't go back to to the hotel based on them. They are as follows: The first night of my stay I wanted to take a bath. When I turned the water on, I noticed there was no plug, so I went to phone reception. When I did so, the phone would not call down to the lobby. I had to go downstairs by elevator - which was another irritant to everyone in our group, because the elevator stopped on every single floor even when no one pushed the button. When I reached the ground floor, I told the receptionist the problem with their being no bathtub stopper. For a long time I didn't believe she understood me in English, because she said they didn't have them in the hotel - and that seemed absurd to me. She then finally called the manager, and he confirmed that they in fact do not have bathtub stoppers in the rooms because there is never enough hot water. That would have been a culture shock, only if I had thought for a moment that The Intercontinental down the street might have had the same problem. Which I highly doubt they did/ever do. Then came later that evening, when the phone started working and I called down to have them send up some extra pillows - plus the heater in the room wasn't working and it was freezing. They said someone would be up shortly. A half an hour later, I called down again and the same girl said they were on their way and would be up in five minutes. Another half hour passed, and I called down again only to be told by a man, that he didn't know about any pillows being sent up and in a rather curt tone said, ""We probably don't have any."" And then hung up. I fell asleep around midnight, and shortly thereafter there was a knock at the door - two hours after I'd originally called downstairs. A rather unpleasant man, who didn't even seem like he belonged on staff, had pillows in his hand and handed them to me. When I thanked him, I asked him to come in and look at the heater. He fiddled with the remote for about twenty seconds then threw it down on the bed and said, ""I don't know how it works. You have to ask someone else."" And then walked out the door. The other thing that is important to note about the hotel, is that you can hear ABSOLUTELY EVERYTHING that is going on outside your door. It's very loud and you feel as though you are in someone's home, rather than a hotel. There is absolutely no sound proof anything going on. My group was there for a conference, so there were over a hundred of us, kids in tow, and you could hear everything in the hallways. I really, really hated that. That's something to definitely factor in if you're considering staying at this hotel.At 5:15 in the morning we were serenaded (note the sarcasm) with Mosque music, and while I understand that's not the hotel's fault, they could have perhaps had better insulation in the windows. While there was no bath for two nights, the heater worked only the second night after one of my roommates managed to figure it out, and there was this run-in with delayed service and an indifferent attitude - I do have to admit that the rest of the staff was very friendly, pleasant and accommodating. I would say though that if given the choice of where to stay, this wouldn't be my first pick as it's not the nicest of places. There was a large buffet of food for dinner, and as far as I know for breakfast as well. Salads, Middle Eastern delicacies galore were all a part of the restaurant's menu both days we were there. I didn't have any of the food provided - but was told by my friends that it was delicious. The towels provided are small and rough. They are not soft at all - imagine shop towels, but less comfortable. They are almost grainy. There were three of us staying in a room (naturally two of the twin beds were pushed together - why, God only knows), and they gave us two tiny bars of soap. All in all I wouldn't deny that this is a comfortable enough establishment, but once again, just not my very first choice. P.S. There was also no toilet brush in the bathroom - just a good tip for you, depending on how you roll.",NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
Rooms are not that great but they are ok for the price paid. Buffet facility was great with a vareity of options available. The location was perfect. The view from the hotel was good. Courteous and helpful staff.,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Rooms are little poky but not bad. The shower space is very small, couldn't move much in it. There was air conditioning in the toilet which made me shiver! Had amazing sleep at this hotel though. Bethlehem was nice with cool winds. It is a few minutes drive to Shepherd's Church from the hotel. The buffet facilities were great - a wide choice of items.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
We stayed in this hotel during our visit in Bethlehem and the place is really nice esp we have the spacious room on the 4 floor with the excellent view of the sorrounding area of the old town. The hotel looks very simple outside but the staff is friendly with good service and they have maintained the cleanliness in the good standard. I cant find any fault as most of the facilities is relatively good. Food is also good which is being serve in 2 restaurants with a lots of variety to choose from. Overall a nice experience and I do recommend this place if you want close to the old town and accessible to the important areas of Catholic or Christian pilgrimage.,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"I went to the hotel with my wife and my 3 children for 2 nights on Easter. The hospitality was great and the hotel is located well within the center so we could walk into the old city and the marketplace by foot.We were located on the 5th floor while the rooms were relatively clean the windows were so dirty that we could not see the view without opening them! In addition the windows could not be shut and feared for the children so we asked them not to go too close to the windows!The parking lot of the hotel is relatively small (only around 10 cars could cramp into the small parking lot of the hotel and we had to ask to move the cars in order to go in/out of the parking lot. (it was not that bad as most of the time we did not have to use the car at all)The TV/entertainment in the hotel is almost not present (the TVs only have a few channels) so bring something for the kids to do (while bathing, etc.)Overall we had a good experience, in order to make it better I suggest to fix/clean the windows, get better children entertainment and improve the parking lot.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
This hotel offered the best service and most hospitality I have ever encountered at a hotel. The staff was friendly and helpful and was eager to serve its guest. I felt safe the entire time and was treated fairly and just. It was a good experience. The only negative was that the wi-fi service was a little sketchy at times and passing through the checkpoints took some time in the morning. Overall it was a good experience.,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
I regularly bring groups to stay here whilst on pilgrimage to the Holy Land. It is a comfortable mid-range hotel with very friendly staff and good facilities. Spacious rooms many with good views. Good food provided in 2 restaurants. Located close to the old town of Bethlehem and an easy walk through the markets to the Church of the Nativity. A very good option for staying in Bethlehem and supporting the local economy. Bethlehem has much to 'take in' and enjoy.,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"The Shepherd Hotel is a convenient and comfortable hotel. You will experience warmth and professional hospitality from the Palestinians at the hotel. Nothing is too much trouble. The food is first class and the proportions are very generous. The rooms are well-appointed and of a good size. Finally, you have ease of access from the hotel to the Church of the Nativity and to the local shops. This was my first trip to Bethlehem and I fet that 'The Shephed Hotel' was a good choice. If you wish to dine elsewhere there are a number of small restaurants and cafes near by. The only 'down side' of Bethlehem is the evidence of apartheid in the form of the monstrous wall that has been constructed. As a boy I once saw the Berlin Wall and the wall that the Israelis have contructed is just as disturbing a sight. What a pity that there is no John Kennedy standing up for the plight of the Palestinians in the way he did for Berliners.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Situated close to the centre of Bethlehem but on a quiet sidestreet, this hotel is cool and comfortable. The staff are very obliging and helpful. Always willing to please. The hotel has a sort of faded elegance - when staying here you will become part of the local community. A couple of doors down the road is the local bakery where, from the early hours, they hand-bake bread with a cheery smile and a wave. The local street market is bustling with local charm and everyone is so welcoming. A ten minute stroll though the souk will take you to Nativity Square.The rooms are comfortable with air-con, shutters, comfortable beds and a little bit of luxury. The food is local fare - which adds to the ambience. If you want to immerse yourself in the local culture while being comfortable then this is the place for you. We have stayed there twice and will happily return again.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Good hotel with helpful staff in the Palestinian side. Based in Bethlehem, there is a lot of interesting places to see near this. Due to the apartheid wall it's not possible for locals to go to Israel and income from tourist is important in these parts. Stayed here for 3 nights, good food, loads of salad selection, they have a lot of group tourist as well so it could be busy at the restaurant certain times. Free unlimited fast wifi, this was helpful as I used to skype home. Alcohol served at the bar.",P,AGREEMENT,SUBJECTIVE,89,NONIRONIC
I stayed at this hotel when I was touring around Bethlehem last year. The hotel was fine. The staffs were friendly and courteous. The large room where I stayed in had a bit out dated décor but it did not bother me as the room was comfortable to stay. The bathroom was however modern just as what the previous reviewer has said. I had my laptop with (I always carry it with me for business related purposes). The free high speed internet connection was a boon. I had a good sleep at this place. The food was quite delicious.,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC
"We stayed here because our tour director wanted our group to spend some of our tourist dollars in hotels, restaurants and gift shops in the West Bank, where commerce is needed badly. The Shepherd hotel was nice, but not a modern, glitzy hotel, though the bathrooms were entirely fresh and modern. The room was spacious with very nice beds, and a little old-fashioned in decor. The food was fine, expecially the dinner. OUr group gathered in the lounge before dinner where the barman was both friendly and appreciative of our business and it was a very pleasant time for us. The wi-fi was free, the only time we got it free in an 11-day tour of Israel. I liked the attitude of the management and staff.",P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC
"We stayed here for eight nights with a group of Pax Christi Austria on our Pilgrimage Tour when we tried to visit many local people engaged in work for peace and justice. We liked the place in its tranquility and special atmosphere just beside the Carmel where Mariam Baouardy, the first palestinian Saint lived after she herself initiated this Carmel.The food is excellent, rich and full of choice, every night something new special. The breakfast is simple but enough to start a good day. The rooms are clean and good enough for a good sleep after a full day of work in the olive yard of Daoud Nasser (Tent of Nations). The view is beautiful. The lounge invites to sit in the evening with a good Tabeyh beer or Cremisan wine from the Salesian brothers.The staff is helpful and friendly, trying the find solutions for every special need.Of course you can find many facts which make a difference to a Five Star Hotel! But thats exact the difference! Its no Five Star Hotel, but a good and innovative place to meet people from the area, to experience their life and problems and give them a chance to earn money. Staying here means helping the Caritas in their work and rising Bethlehems economy. So you get a moderate room with excellent food for a very reasonable price! The more people stay here, the larger the chance for renovations which of course could do some good. Maybe the busdriver needs some special advise, as our bus driver didn’t know the place.Ask for Fr. Raed the Director of Caritas Jerusalem who started this guesthouse and you will learn a lot about life in Bethlehem. They are very thankful for every stay!",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
Caritas runs this place in a most meticulous and caring way. Rooms are clean and well kept. Wi fi works well. The food is extraordinary because the cook is a real chef. The prices are good and in addition you help Caritas who helos the refugees. ,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
This time I only had the chance for a day visit at the Carmel Convent which I very much appreciated. In the church you see the reliquary of St Maria and in the museum different items belonging to here. A friend of mine recommended the guest house to me. It's a quiet and peaceful place. At daytime you also can meet old people in the daycare Center of the Caritas. ,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC
"Polite, capable service in good English. Room a little worn but very clean. Breakfast buffet above average. I had dinner here one night and it was quite dull but filling; anyway there are several restaurants nearby.It's a short walk from the popular Franciscan Shepherds' Field shrine and slightly further from the little-visited Orthodox site but still walkable.",NEU,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"We were part of a group tour in May 2016 and stayed for four days in this hotel in Bethlehem. Good value for money hotel. Quite comfortable. Remote location - Not in proximity of markets/shops or restaurants. Rooms are good, but not quite big. Linen was clean and changed as per request. Breakfast fare was not very large but good mix of vegies and sausages and eggs with pita bread. Plus point is staff very courteous and helpful. Shower space in our room was almost minuscule. Not at all enough to take a decent shower. Overall, a good value for money - budget hotel. Serves very well, the purpose of pilgrim groups who need a good, clean, quiet place after a day’s tiring sightseeing.",P,DISAGREEMENT,SUBJECTIVE,82,NONIRONIC
"Compared to the price I paid for 3 nights, this hotel is a bargain. Very nice and clean hotel with big rooms (great view as well over the city). It is located 25 minutes walking from Manger Square and the Nativity Church or a short, cheap taxi ride. Breakfast was fine. Wifi working well. Had some issues with cold water in the shower, but did not bother to ask the staff (which by the way was nice).I would recommend staying here. Only downside is that it is located a little outside the city, but the hotel itself is nice.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"After trying two other places I moved here and never looked back. The staff couldn't be more helpful, yet never at any point imposed. They gave good advice to my questions and seemed to enjoy helping too. I thought the room was lovely and was happy with the heating, TV and layout, it was also kept immaculate throughout my stay. They have two or three news channels that are in English. Breakfast was just right and the fellow there transformed my whole trip for the better when I told him my interests and he advised me of an event I knew nothing of later that day. Everyone is professional and the whole package beat everywhere else I'd been hands down. Very good value and I'll be back.Tip: If you need a taxi get the hotel staff to order it for you and tell you exactly what to pay. If you don't and they see you are a tourist it will probably be ten times or more higher.",P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC
"This hotel is one of four hotels we occupied during our Jordan/Israel group tour. The courtyard as you enter the hotel is a welcome sight with a bridge leading to the entrance. The lobby is also nice and spacious. The rooms are clean and well-maintained although there is no wifi most of the time. The wifi in the lobby is more reliable. The buffet breakfasts and dinners at the restaurant are better than in the other hotels where we stayed. However, the restaurant normally opens at 7 which is too late for our early morning tours. Our tour guide requested an earlier breakfast the next day and the manager accommodated our request. Good location although we did not have time to go around on our own due to our hectic group schedule.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"I stayed this resort on from 18th to 21st may this year WITH MY GROUP OF 40 PEOPLE The Resort is really great. Specifically menu, rooms, cleanliness. Apart from this, I would like to specially mention the Adjustment of timings of breakfast and dinner by restaurant staff. Always front side rooms are recommended.Only suggestion is resort management must provide floor carpet in each room . GOLDEN.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"The rooms were very comfortable and large. The same was the bathroom. Staff was very kind. Although one morning they woke us up one and a half hours earlier by mistake and we lost our sleep. Not so clean as one towel and one of the pillows were dirty. Breakfast was very poor and the quality of the products was bad. It was the same every day. As for the place, it is close to restaurants and to a super market( be careful in the market, they thieve you when you pay in euros) and a 10-15 minute walk from the Church of the Nativity. The bar in the 7th floor has a great view and reasonable-for the place- prices.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"You can opt to walk going to the Nativity Church. Also there's a good quality souvenir store near the area called Cavinti. Staff at the dining area are very helpful and accommodating. Just be aware of many guests in this hotel, as the elevator service may slow down due to big group guests.",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
This is a big hotel with regular standards: comfortable and clean beds and bathroom and sufficient closets. They provide free wifi and tea and coffee facilities in the rooms. Breakfast is ok with a variety of food including falafel. Dinner is also acceptable in food quality and quantity but the dining room is more like a school cafeteria. ,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"My wife and I were traveling with a group of pilgrims to see mostly sites of interest to Christians. All arrangements were made through Educational Opportunities travel service as a package so I am unable to comment on room costs. My wife and I had a suite and the room was clean. We had several meals at the hotel restaurant and the food and service were good. It rained during most of our stay so we didn't walk around the city around our hotel but the spire for the church of the nativity was visible from our window and looked to be only a few blocks away. We felt safe throughout our stay but there was always a collection of street vendors waiting outside the hotel when we left or returned. The vendors are very persistent so please be courteous but firm in declining their wares - if you are not interested. Don't touch anything or they will cling to you. Also it is apparently not customary to provide a top sheet in Palestine, just a mattress cover sheet and blanket. Wash cloths are also not provided nor did the hotel staff know what a wash cloth/face cloth is. Electrical outlets are few. Had to unplug something to charge cell phone. Hotel staff were courteous and responsive to our requests.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"I've been there only one night. Rooms are big and CLEAN. The hotel looks new. Service people are really nice, kind and helpful.breakfast and dinner are buffet style, good and with variety. Compared to the rest of hotels of the same caregory we have been in Israel, this one is better, cleaner, personal is kinder and has exceed my expectatives. If you are travelling to Israel, it's a must visiting Palestina and sleep one night (enough) in Bethlehem.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Very nice modern hotel. We stayed as a family of 4 for one night, it was enough to make a great impression. The hotel is all clean, quite and the staff is very friendly. Rich breakfast and great location. Highly recommended, we'll diffenetly come back. ",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"I found it to have poor lighting, Poor electrical outlets/plugs no place to plug in your iPhone, iPad and tablet/Computer. When I asked for an extension the first one that gave me was not good. I had to ask for a second one. The only thing that was good was that since I was staying with my parents they didn't put in a cot. It was an actual bed. We had no choice on scheduling hotel rooms because we went on a pilgrimage. So we had to accept /deal with the hotel. Wifi was free because we were a group of 58.",N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"This is a comfortable hotel with clean room and nice beds .. breakfast served was also good and hotel staff helpful.Spend 3 nights in this hotel during my visit to Holyland. Room was big but the lighting is not too bright. But as a whole, hotel was okay.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"We send 2 night at Bethlehem, with the family.We booked 2 rooms at the Grand Park Hotel.The hotel is located in a very good position and has free parkingWas really really good.Nice atmosfery. I recommend it.",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"On our recent trip this was the best of the places we stayed. My only problem was that I struggled with the bed covers the first night. After that I just pulled them loose from the end of the bed and was able to cover myself better. The restaurant provided excellent meals and the staff was friendly. There was also a great view of the city from the room. I was skyping with my daughter and her sons (ages 3 and 5). They saw the towers of the mosques and churches and asked ""Are those skyscrapers?"" I would go there again in a heartbeat.",P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"The Grand Park is really lovely, modern, bright and spotlessly clean. My room was big and welcoming, quite luxurious. I had a great view over Bethlehem where I saw several wonderful sunsets.I wasn't struck on the food - I do like Arab cuisine but quite often dishes were not hot enough. Also the tables in the dining room are really jam-packed and elbow room is at a premium!One thing I feel the management should look at is the lifts. There are only two for a hotel with seven floors, and it was frequently a long job to get up and down to floor six!",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
" TO The Grand Park Hotel from the group of 15 people travel on June 2015++ The Foods was not good, most of a local foods @ dinner++ The rooms was too small for 2 people (other couples, their rooms was bigger than 6 of us) after we placed our suitcases in the floor, the only floor space of the room, the area was so small (for rooms # 201 / 210 / 202 / 417) and the shower rooms, a problem, water ran all over the floor every time we showered. For us Not a 4 star hotel – Definitely Not!",N,AGREEMENT,SUBJECTIVE,92,NONIRONIC
"I went with Spirit tour LTD and everybody love it. The hotel was so nice , the staff gave excellent service, special the restaurant Staff. I was very satisfied with my gluten free food. They make special dinner and breakfast for me. I did not worry about what I was going to eat, because all the staff was aware of my diet. I love it and the mos important thing I enjoyed all.",P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC
"--- The Hotel rooms was nice, large, clean and the staff are very nice and help full--- Dinner was not good... the Arabian cuisine is good for local people but not for us, we are from USA and not acquainted with Arabian foods! Sorry ! THEY NEED TO HAVE MO",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"I stayed for 3 nights and I was satisfied. When I arrived at the lobby I have low expectation with this hotel. Then, I enter to my room and said : it is more than my expectation. Simply but cozy. I was open the window and see the panorama of Bethlehem. I enjoyed the sunrise in every morning also I was lucky to see the sunset. I got WIFI in the room and it was free. Great ! It was help me to handle my work during my trip. All of hotel staff was friendly and helpful. I love the chair near from lift. The ornament was so feminine, warm and very eye catching with pink flower and white background. Plus !The location around 20 minutes walking from Nativity Church. You can visit some souvenir store near from the hotel also.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"Last November I escort a group from The U.S stayed here , I was not very satisfied with food. But I decided to Give this hotel one more try again. this time i came back stay 3 nights with them , from the restaurant staffs , Manager, and front desk receptionist, everyone were so nice , gave excellent service, special the restaurant , I need to celebrate one of our couple 25th Anniversary , they manege to get my cake delivered and music ... gave us a wow memories.. we all love this hotel and service people . definitely I will back with other groups. Thanks again for the excellent service.. also free WIFI in the room",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
We came here for 10 days os sightseeing and tp plant olivevtrees with ourvchurch group. The hotel is clean and comfortable and the dtaff is attentive and knowledgeable. Good English speakers. The locstion was central tobour activities.,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"The Grand Park Hotel Bethlehem was a surprisingly new and very clean hotel which exceeded my expectations. The rooms were quite large, and the dinner service was outstanding. My suggestions for improvement are the lighting in the rooms was not sufficient (no overhead light and only two small lamps for a large room.) Also, while the hotel staff was very friendly, some employees were smoking in the lobby area.",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
We are stuck here because of the east coast blizzard and it is a great place to be stuck. Very friendly staff. Within walking distance to manger square and church of nativity . Beautiful room with balcony ( even if view is of half constructed building). Only complaint is room is a little dark . They even have wash cloths which are not common in Mideast . ,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"Well appointed, modern hotel, a short walk from the Nativity Basilica, via the Milk Grotto. Caters for international pilgrims, with a plentiful and wide buffet choice at breakfast and dinner. The staff try very hard to cater to your every whim but please remember that they are under occupation and Palestinians cannot leave the West Bank for training in hospitality in the same way that we could go to College for such training, be apprenticed to a chef or hotel or fast food chain, etc. The staff aren't as polished as those of an equivalent hotel in the West, but how on earth could they be since they aren't permitted to leave the West Bank and thus haven't had the educational opportunities that we have? Please give this hotel your custom because its rooms are well equipped, very comfortable and convenient for Bethlehem, Jerusalem and the surrounding areas.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"In June 2014, I travelled with a group of friends to Bethlehem to take part in the Bet Lahem Live Festival. All of the contributors stayed in the Grand Park Hotel. Firstly I should add that the West Bank area has probably the most well known tourist sites in the world, but really do not get as many tourists visit as they should. Bethlehem and Jerusalem are tourist gems and should not be missed. I stayed hear for just five days and the staff were so hospitable and keen to make sure that we were comfortable. We had buffet breakfasts and lunches provided which was reasonably good but probably needed a little more variety (hence not being awarded 5 stars). The rooms however were extremely comfortable and I was very happy during my stay. I would stay again and bethlehem is now one of my favourite cities in the world and Palestinians are now my favourite people! The countryside is stunning! If you have never been before, do not let the Israeli Occupation put you off going. I never felt uncomfortable being amongst Palestinians. They want (need) you to visit. Miss this experience and you will forever not see the truth of how wonderful the West Bank is.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
My wife and I truly enjoyed this fine hotel. The staff are very friendly and go out of their way to make your stay the best. We ate two meals a day here and it was very good. Close to everything too. We walked to The Church of the Nativity and the market. Ask for a balcony room and a double if you prefer. The lounge on the 7th floor has great views.,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"We have stayed in Grand Park Bethlehem during our week trip for Easter 2014. Out of all hotels in Israel we visited, this was the nicest. It was modern, clean, with good food and nice views. We haven't seen much around as only stayed for one night.But We liked the rooms very much.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"This hotel is great value for money and fantastic. I found the staff friendly and helpful and the room was spacious, clean and well appointed. The only advice I would give is ask to stay on one of the higher floors, I was on the ground floor facing the street and it was the night before the Pope's visit and a big football match so quite noisy. The place on the whole is excellent, great views with balcony and friendly staff.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
Beautiful hotel and my room had a balcony and overlooked the West Bank.Loved this hotel it was fantastic.Staff were great. Owner was very nice also.Food for dinner and breakfast was good (probably great for them). Plenty of choices.You could buy good cheap bottles of wine.We stayed her as part of a tour and were really happy. Sad we could not stay longer.,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC
"I stayed here for 2 nights and all I can say is that it was glorious and I'll be back. On check I unknowingly paid an extra $20, before I knew it I had a knock on the door with the bell boy handing me it back. Breakfast is great, TV channels are decent and the place is very clean. A lovely balcony and all the amenities you would expect from a 4/5 star hotel in Europe!",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"The hotel is very new and clean. Beds are comfy. There's a lot of english channels on the TV :) compared to the other hotels we have been to on this trip to the Holy Land. One concern was the room was very dark. This made it very hard for us to do anything that needed light. I hope they would add more lamps or lights. This room badly needs it. Free Wifi!Food is average. Location is ok. If you use the other entrance, there's a shawarma place beside it and a small grocery across the street.The staff are very pleasant and friendly. Great service!",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"This hotel is run by a friendly family where everything is provided to make your stay as easy and comfortable as possible. Rooms are modern, clean and spacious.Nice mideteranian breakfast is served.The area is very safe and you can walk to anywhere in the city. Probably one the best hotels in Bethlehem with highest quality rooms and service for a reasonably set price level. ",P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC
"The rooms are spacious and comfortable, even the bathroom size is ok for staying there a couple of days. They offer a variety of food for breakfast and dinner, so you will not stay hungry. We stayed for 5 days and i really have nothing to complain about.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"Not quite paradise as the name suggests, but comfortable with quite spacious rooms, especially if you're in a room on your own. The amenities are also quite good.One of the couples in our group had a few complaints about the cleanliness of their room, but the staff were quick to respond and fix things. Overall, staff were quite efficient and friendly.The food was buffet style, and the variety, quantity and quality on offer was excellent, especially if you like middle eastern food. The only issue if any was that there was very little change from day to day.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"I stayed at the Paradise Hotel for 4 nights. It is a lovely hotel where people take care of all needs if you ask for help and advice. It is largely catering to pilgrim tours but I travelled as a solo woman. I found the hotel well located, clean and comfortable. The food is really good and caters to many tastes.It is an historical and family owned hotel and when you stay here you are benefiting the Palestinian economy. Tourism is important to Bethlehem and Palestine so please think about spending your tourists money locally to benefit the local community who need this. The family ownership means that you receive real hospitality as a respectful visitor and you can really connect to a beautiful place.The Paradise Hotel isn't Paradise in truth, but it makes a cice and inexpensive safe haven to visit the holy city and to meet the local people. I recommend it on your next visit to Bethlehem and surrounds.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Visited them with family (3 rooms) as part of a tour. Great facilities, AC, some rooms have balconies (we were lucky). Had b/f and dinner there for a couple of days. Excellent food, and very diverse. Both were included in the room price. Very large meal serving area, downstairs and ground floor. Very polite and friendly staff. Asked questions about safety, food and drinks options, gave them straightforward and accurately. Very good area for safety, shopping and grocery stores. Try the local produce, exquisite. May use shekels and USD, but shekels rule. Definitely return. ",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"The rooms were ok spacious and clean. Breakfast and lunch was ok, nothing to write home about it but not bad either.Staff was friendly and helpful. If you want to visit Jerusalem by night you can ask them for a cab.",P,AGREEMENT,SUBJECTIVE,92,NONIRONIC
